Concat__model.12_Concat_88                                   	None	eculidean_norm=0.015473	cosine_norm=0.999880
Conv__model.13_cv2_conv_Conv_80                              	None	eculidean_norm=0.017308	cosine_norm=0.999850
Conv__model.13_cv1_conv_Conv_106                             	None	eculidean_norm=0.012557	cosine_norm=0.999921
Relu__model.13_cv2_act_Relu_70                               	None	eculidean_norm=0.011762	cosine_norm=0.999931
Relu__model.13_cv1_act_Relu_105                              	None	eculidean_norm=0.009752	cosine_norm=0.999952
Conv__model.13_m_m.0_cv1_conv_Conv_96                        	None	eculidean_norm=0.015468	cosine_norm=0.999880
Relu__model.13_m_m.0_cv1_act_Relu_87                         	None	eculidean_norm=0.012556	cosine_norm=0.999921
Conv__model.13_m_m.0_cv2_conv_Conv_79                        	None	eculidean_norm=0.024656	cosine_norm=0.999696
Relu__model.13_m_m.0_cv2_act_Relu_69                         	None	eculidean_norm=0.011114	cosine_norm=0.999938
Concat__model.13_Concat_61                                   	None	eculidean_norm=0.011412	cosine_norm=0.999935
Conv__model.13_cv3_conv_Conv_57                              	None	eculidean_norm=0.017221	cosine_norm=0.999852
Relu__model.13_cv3_act_Relu_56                               	None	eculidean_norm=0.011393	cosine_norm=0.999935
Conv__model.14_conv_Conv_47                                  	None	eculidean_norm=0.022836	cosine_norm=0.999739
Relu__model.14_act_Relu_38                                   	None	eculidean_norm=0.019398	cosine_norm=0.999812
Resize__model.15_Resize_40                                   	None	eculidean_norm=0.019398	cosine_norm=0.999812
Concat__model.16_Concat_32                                   	None	eculidean_norm=0.019060	cosine_norm=0.999818
Conv__model.17_cv2_conv_Conv_26                              	None	eculidean_norm=0.027081	cosine_norm=0.999633
Conv__model.17_cv1_conv_Conv_49                              	None	eculidean_norm=0.015733	cosine_norm=0.999876
Relu__model.17_cv2_act_Relu_20                               	None	eculidean_norm=0.022540	cosine_norm=0.999746
Relu__model.17_cv1_act_Relu_48                               	None	eculidean_norm=0.011870	cosine_norm=0.999929
Conv__model.17_m_m.0_cv1_conv_Conv_39                        	None	eculidean_norm=0.020714	cosine_norm=0.999785
Relu__model.17_m_m.0_cv1_act_Relu_31                         	None	eculidean_norm=0.017717	cosine_norm=0.999843
Conv__model.17_m_m.0_cv2_conv_Conv_25                        	None	eculidean_norm=0.039235	cosine_norm=0.999230
Relu__model.17_m_m.0_cv2_act_Relu_19                         	None	eculidean_norm=0.018899	cosine_norm=0.999821
Concat__model.17_Concat_14                                   	None	eculidean_norm=0.020419	cosine_norm=0.999792
Conv__model.17_cv3_conv_Conv_11                              	None	eculidean_norm=0.035043	cosine_norm=0.999386
Relu__model.17_cv3_act_Relu_8                                	None	eculidean_norm=0.014919	cosine_norm=0.999889
Conv__model.24_m.0_Conv_5                                    	None	eculidean_norm=0.006403	cosine_norm=0.999980
Conv__model.18_conv_Conv_46                                  	None	eculidean_norm=0.040008	cosine_norm=0.999200
Relu__model.18_act_Relu_37                                   	None	eculidean_norm=0.019203	cosine_norm=0.999816
Concat__model.19_Concat_30                                   	None	eculidean_norm=0.019296	cosine_norm=0.999814
Conv__model.20_cv2_conv_Conv_24                              	None	eculidean_norm=0.032854	cosine_norm=0.999460
Conv__model.20_cv1_conv_Conv_54                              	None	eculidean_norm=0.020601	cosine_norm=0.999788
Relu__model.20_cv1_act_Relu_45                               	None	eculidean_norm=0.011841	cosine_norm=0.999930
Relu__model.20_cv2_act_Relu_18                               	None	eculidean_norm=0.015288	cosine_norm=0.999883
Conv__model.20_m_m.0_cv1_conv_Conv_36                        	None	eculidean_norm=0.026149	cosine_norm=0.999658
Relu__model.20_m_m.0_cv1_act_Relu_29                         	None	eculidean_norm=0.014323	cosine_norm=0.999897
Conv__model.20_m_m.0_cv2_conv_Conv_23                        	None	eculidean_norm=0.045776	cosine_norm=0.998952
Relu__model.20_m_m.0_cv2_act_Relu_17                         	None	eculidean_norm=0.015828	cosine_norm=0.999875
Concat__model.20_Concat_13                                   	None	eculidean_norm=0.015551	cosine_norm=0.999879
Conv__model.20_cv3_conv_Conv_10                              	None	eculidean_norm=0.058776	cosine_norm=0.998273
Relu__model.20_cv3_act_Relu_7                                	None	eculidean_norm=0.034208	cosine_norm=0.999415
Conv__model.24_m.1_Conv_4                                    	None	eculidean_norm=0.007629	cosine_norm=0.999971
Conv__model.21_conv_Conv_43                                  	None	eculidean_norm=0.035513	cosine_norm=0.999369
Relu__model.21_act_Relu_34                                   	None	eculidean_norm=0.018471	cosine_norm=0.999829
Concat__model.22_Concat_28                                   	None	eculidean_norm=0.017316	cosine_norm=0.999850
Conv__model.23_cv2_conv_Conv_22                              	None	eculidean_norm=0.029123	cosine_norm=0.999576
Conv__model.23_cv1_conv_Conv_51                              	None	eculidean_norm=0.018206	cosine_norm=0.999834
Relu__model.23_cv1_act_Relu_42                               	None	eculidean_norm=0.012732	cosine_norm=0.999919
Relu__model.23_cv2_act_Relu_16                               	None	eculidean_norm=0.015673	cosine_norm=0.999877
Conv__model.23_m_m.0_cv1_conv_Conv_33                        	None	eculidean_norm=0.037141	cosine_norm=0.999310
Relu__model.23_m_m.0_cv1_act_Relu_27                         	None	eculidean_norm=0.014316	cosine_norm=0.999898
Conv__model.23_m_m.0_cv2_conv_Conv_21                        	None	eculidean_norm=0.046977	cosine_norm=0.998896
Relu__model.23_m_m.0_cv2_act_Relu_15                         	None	eculidean_norm=0.016193	cosine_norm=0.999869
Concat__model.23_Concat_12                                   	None	eculidean_norm=0.015917	cosine_norm=0.999873
Conv__model.23_cv3_conv_Conv_9                               	None	eculidean_norm=0.031193	cosine_norm=0.999514
Relu__model.23_cv3_act_Relu_6                                	None	eculidean_norm=0.014799	cosine_norm=0.999891
Conv__model.24_m.2_Conv_3                                    	None	eculidean_norm=0.005554	cosine_norm=0.999985
